# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
Mycobacterium_avium_104_uid57693_upstream,no,yes,yes,Mycobacterium avium 104 uid57693 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium avium 104 uid57693</I>.,-1000,+200
Mycobacterium_avium_paratuberculosis_K_10_uid57699_upstream,no,yes,yes,Mycobacterium avium paratuberculosis K 10 uid57699 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium avium paratuberculosis K 10 uid57699</I>.,-1000,+200
Mycobacterium_bovis_AF2122_97_uid57695_upstream,no,yes,yes,Mycobacterium bovis AF2122 97 uid57695 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium bovis AF2122 97 uid57695</I>.,-1000,+200
Mycobacterium_bovis_BCG_Mexico_uid86889_upstream,no,yes,yes,Mycobacterium bovis BCG Mexico uid86889 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium bovis BCG Mexico uid86889</I>.,-1000,+200
Mycobacterium_bovis_BCG_Pasteur_1173P2_uid58781_upstream,no,yes,yes,Mycobacterium bovis BCG Pasteur 1173P2 uid58781 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium bovis BCG Pasteur 1173P2 uid58781</I>.,-1000,+200
Mycobacterium_bovis_BCG_Tokyo_172_uid59281_upstream,no,yes,yes,Mycobacterium bovis BCG Tokyo 172 uid59281 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium bovis BCG Tokyo 172 uid59281</I>.,-1000,+200
Mycobacterium_canettii_CIPT_140010059_uid70731_upstream,no,yes,yes,Mycobacterium canettii CIPT 140010059 uid70731 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium canettii CIPT 140010059 uid70731</I>.,-1000,+200
Mycobacterium_canettii_uid70731_upstream,no,yes,yes,Mycobacterium canettii uid70731 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium canettii uid70731</I>.,-1000,+200
Mycobacterium_gilvum_PYR_GCK_uid59421_upstream,no,yes,yes,Mycobacterium gilvum PYR GCK uid59421 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium gilvum PYR GCK uid59421</I>.,-1000,+200
Mycobacterium_intracellulare_MOTT_02_uid89387_upstream,no,yes,yes,Mycobacterium intracellulare MOTT 02 uid89387 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium intracellulare MOTT 02 uid89387</I>.,-1000,+200
Mycobacterium_intracellulare_MOTT_64_uid89385_upstream,no,yes,yes,Mycobacterium intracellulare MOTT 64 uid89385 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium intracellulare MOTT 64 uid89385</I>.,-1000,+200
Mycobacterium_leprae_Br4923_uid59293_upstream,no,yes,yes,Mycobacterium leprae Br4923 uid59293 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium leprae Br4923 uid59293</I>.,-1000,+200
Mycobacterium_leprae_TN_uid57697_upstream,no,yes,yes,Mycobacterium leprae TN uid57697 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium leprae TN uid57697</I>.,-1000,+200
Mycobacterium_marinum_M_uid59423_upstream,no,yes,yes,Mycobacterium marinum M uid59423 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium marinum M uid59423</I>.,-1000,+200
Mycobacterium_phage_244_upstream,no,yes,yes,Mycobacterium phage 244 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage 244</I>.,-1000,+200
Mycobacterium_phage_Barnyard_upstream,no,yes,yes,Mycobacterium phage Barnyard (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Barnyard</I>.,-1000,+200
Mycobacterium_phage_Bethlehem_upstream,no,yes,yes,Mycobacterium phage Bethlehem (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Bethlehem</I>.,-1000,+200
Mycobacterium_phage_Bxb1_upstream,no,yes,yes,Mycobacterium phage Bxb1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Bxb1</I>.,-1000,+200
Mycobacterium_phage_Bxz1_upstream,no,yes,yes,Mycobacterium phage Bxz1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Bxz1</I>.,-1000,+200
Mycobacterium_phage_Bxz2_upstream,no,yes,yes,Mycobacterium phage Bxz2 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Bxz2</I>.,-1000,+200
Mycobacterium_phage_Catera_upstream,no,yes,yes,Mycobacterium phage Catera (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Catera</I>.,-1000,+200
Mycobacterium_phage_Che12_upstream,no,yes,yes,Mycobacterium phage Che12 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Che12</I>.,-1000,+200
Mycobacterium_phage_Che8_upstream,no,yes,yes,Mycobacterium phage Che8 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Che8</I>.,-1000,+200
Mycobacterium_phage_Che9c_upstream,no,yes,yes,Mycobacterium phage Che9c (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Che9c</I>.,-1000,+200
Mycobacterium_phage_Che9d_upstream,no,yes,yes,Mycobacterium phage Che9d (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Che9d</I>.,-1000,+200
Mycobacterium_phage_Cjw1_upstream,no,yes,yes,Mycobacterium phage Cjw1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Cjw1</I>.,-1000,+200
Mycobacterium_phage_Cooper_upstream,no,yes,yes,Mycobacterium phage Cooper (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Cooper</I>.,-1000,+200
Mycobacterium_phage_Corndog_upstream,no,yes,yes,Mycobacterium phage Corndog (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Corndog</I>.,-1000,+200
Mycobacterium_phage_D29_upstream,no,yes,yes,Mycobacterium phage D29 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage D29</I>.,-1000,+200
Mycobacterium_phage_Giles_upstream,no,yes,yes,Mycobacterium phage Giles (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Giles</I>.,-1000,+200
Mycobacterium_phage_Halo_upstream,no,yes,yes,Mycobacterium phage Halo (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Halo</I>.,-1000,+200
Mycobacterium_phage_L5_upstream,no,yes,yes,Mycobacterium phage L5 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage L5</I>.,-1000,+200
Mycobacterium_phage_Llij_upstream,no,yes,yes,Mycobacterium phage Llij (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Llij</I>.,-1000,+200
Mycobacterium_phage_Omega_upstream,no,yes,yes,Mycobacterium phage Omega (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Omega</I>.,-1000,+200
Mycobacterium_phage_Orion_upstream,no,yes,yes,Mycobacterium phage Orion (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Orion</I>.,-1000,+200
Mycobacterium_phage_PBI1_upstream,no,yes,yes,Mycobacterium phage PBI1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage PBI1</I>.,-1000,+200
Mycobacterium_phage_PG1_upstream,no,yes,yes,Mycobacterium phage PG1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage PG1</I>.,-1000,+200
Mycobacterium_phage_PLot_upstream,no,yes,yes,Mycobacterium phage PLot (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage PLot</I>.,-1000,+200
Mycobacterium_phage_PMC_upstream,no,yes,yes,Mycobacterium phage PMC (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage PMC</I>.,-1000,+200
Mycobacterium_phage_Pipefish_upstream,no,yes,yes,Mycobacterium phage Pipefish (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Pipefish</I>.,-1000,+200
Mycobacterium_phage_Qyrzula_upstream,no,yes,yes,Mycobacterium phage Qyrzula (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Qyrzula</I>.,-1000,+200
Mycobacterium_phage_Rosebush_upstream,no,yes,yes,Mycobacterium phage Rosebush (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Rosebush</I>.,-1000,+200
Mycobacterium_phage_TM4_upstream,no,yes,yes,Mycobacterium phage TM4 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage TM4</I>.,-1000,+200
Mycobacterium_phage_Tweety_upstream,no,yes,yes,Mycobacterium phage Tweety (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Tweety</I>.,-1000,+200
Mycobacterium_phage_U2_upstream,no,yes,yes,Mycobacterium phage U2 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage U2</I>.,-1000,+200
Mycobacterium_phage_Wildcat_upstream,no,yes,yes,Mycobacterium phage Wildcat (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium phage Wildcat</I>.,-1000,+200
Mycobacterium_rhodesiae_NBB3_uid75107_upstream,no,yes,yes,Mycobacterium rhodesiae NBB3 uid75107 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium rhodesiae NBB3 uid75107</I>.,-1000,+200
Mycobacterium_smegmatis_MC2_155_uid57701_upstream,no,yes,yes,Mycobacterium smegmatis MC2 155 uid57701 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium smegmatis MC2 155 uid57701</I>.,-1000,+200
Mycobacterium_tuberculosis_CCDC5079_uid161943_upstream,no,yes,yes,Mycobacterium tuberculosis CCDC5079 uid161943 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis CCDC5079 uid161943</I>.,-1000,+200
Mycobacterium_tuberculosis_CCDC5180_uid161941_upstream,no,yes,yes,Mycobacterium tuberculosis CCDC5180 uid161941 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis CCDC5180 uid161941</I>.,-1000,+200
Mycobacterium_tuberculosis_CDC1551_uid57775_upstream,no,yes,yes,Mycobacterium tuberculosis CDC1551 uid57775 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis CDC1551 uid57775</I>.,-1000,+200
Mycobacterium_tuberculosis_CTRI_2_uid161997_upstream,no,yes,yes,Mycobacterium tuberculosis CTRI 2 uid161997 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis CTRI 2 uid161997</I>.,-1000,+200
Mycobacterium_tuberculosis_F11_uid58417_upstream,no,yes,yes,Mycobacterium tuberculosis F11 uid58417 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis F11 uid58417</I>.,-1000,+200
Mycobacterium_tuberculosis_H37Ra_uid58853_upstream,no,yes,yes,Mycobacterium tuberculosis H37Ra uid58853 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis H37Ra uid58853</I>.,-1000,+200
Mycobacterium_tuberculosis_H37Rv_uid57777_upstream,no,yes,yes,Mycobacterium tuberculosis H37Rv uid57777 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis H37Rv uid57777</I>.,-1000,+200
Mycobacterium_tuberculosis_KZN_1435_uid59069_upstream,no,yes,yes,Mycobacterium tuberculosis KZN 1435 uid59069 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis KZN 1435 uid59069</I>.,-1000,+200
Mycobacterium_tuberculosis_KZN_4207_uid83619_upstream,no,yes,yes,Mycobacterium tuberculosis KZN 4207 uid83619 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis KZN 4207 uid83619</I>.,-1000,+200
Mycobacterium_tuberculosis_RGTB327_uid157907_upstream,no,yes,yes,Mycobacterium tuberculosis RGTB327 uid157907 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis RGTB327 uid157907</I>.,-1000,+200
Mycobacterium_tuberculosis_RGTB423_uid162179_upstream,no,yes,yes,Mycobacterium tuberculosis RGTB423 uid162179 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium tuberculosis RGTB423 uid162179</I>.,-1000,+200
Mycobacterium_ulcerans_Agy99_uid16230_upstream,no,yes,yes,Mycobacterium ulcerans Agy99 uid16230 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium ulcerans Agy99 uid16230</I>.,-1000,+200
Mycobacterium_ulcerans_Agy99_uid62939_upstream,no,yes,yes,Mycobacterium ulcerans Agy99 uid62939 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium ulcerans Agy99 uid62939</I>.,-1000,+200
Mycobacterium_vanbaalenii_PYR_1_uid58463_upstream,no,yes,yes,Mycobacterium vanbaalenii PYR 1 uid58463 (upstream),Upstream sequences (-1000 to +200) for <I>Mycobacterium vanbaalenii PYR 1 uid58463</I>.,-1000,+200
Mycoplasma_agalactiae_PG2_uid16095_upstream,no,yes,yes,Mycoplasma agalactiae PG2 uid16095 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma agalactiae PG2 uid16095</I>.,-1000,+200
Mycoplasma_agalactiae_PG2_uid61619_upstream,no,yes,yes,Mycoplasma agalactiae PG2 uid61619 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma agalactiae PG2 uid61619</I>.,-1000,+200
Mycoplasma_agalactiae_uid46679_upstream,no,yes,yes,Mycoplasma agalactiae uid46679 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma agalactiae uid46679</I>.,-1000,+200
Mycoplasma_arthritidis_158L3_1_uid58005_upstream,no,yes,yes,Mycoplasma arthritidis 158L3 1 uid58005 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma arthritidis 158L3 1 uid58005</I>.,-1000,+200
Mycoplasma_bovis_Hubei_1_uid68691_upstream,no,yes,yes,Mycoplasma bovis Hubei 1 uid68691 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma bovis Hubei 1 uid68691</I>.,-1000,+200
Mycoplasma_bovis_PG45_uid60859_upstream,no,yes,yes,Mycoplasma bovis PG45 uid60859 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma bovis PG45 uid60859</I>.,-1000,+200
Mycoplasma_capricolum_ATCC_27343_uid58525_upstream,no,yes,yes,Mycoplasma capricolum ATCC 27343 uid58525 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma capricolum ATCC 27343 uid58525</I>.,-1000,+200
Mycoplasma_conjunctivae_HRC_581_uid32285_upstream,no,yes,yes,Mycoplasma conjunctivae HRC 581 uid32285 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma conjunctivae HRC 581 uid32285</I>.,-1000,+200
Mycoplasma_conjunctivae_HRC_581_uid59325_upstream,no,yes,yes,Mycoplasma conjunctivae HRC 581 uid59325 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma conjunctivae HRC 581 uid59325</I>.,-1000,+200
Mycoplasma_crocodyli_MP145_uid47087_upstream,no,yes,yes,Mycoplasma crocodyli MP145 uid47087 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma crocodyli MP145 uid47087</I>.,-1000,+200
Mycoplasma_fermentans_JER_uid53543_upstream,no,yes,yes,Mycoplasma fermentans JER uid53543 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma fermentans JER uid53543</I>.,-1000,+200
Mycoplasma_fermentans_M64_uid62099_upstream,no,yes,yes,Mycoplasma fermentans M64 uid62099 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma fermentans M64 uid62099</I>.,-1000,+200
Mycoplasma_gallisepticum_F_uid162001_upstream,no,yes,yes,Mycoplasma gallisepticum F uid162001 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma gallisepticum F uid162001</I>.,-1000,+200
Mycoplasma_gallisepticum_R_high__uid161999_upstream,no,yes,yes,Mycoplasma gallisepticum R high  uid161999 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma gallisepticum R high  uid161999</I>.,-1000,+200
Mycoplasma_gallisepticum_R_low__uid57993_upstream,no,yes,yes,Mycoplasma gallisepticum R low  uid57993 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma gallisepticum R low  uid57993</I>.,-1000,+200
Mycoplasma_genitalium_G37_uid57707_upstream,no,yes,yes,Mycoplasma genitalium G37 uid57707 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma genitalium G37 uid57707</I>.,-1000,+200
Mycoplasma_haemocanis_Illinois_uid82367_upstream,no,yes,yes,Mycoplasma haemocanis Illinois uid82367 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma haemocanis Illinois uid82367</I>.,-1000,+200
Mycoplasma_haemofelis_Langford_1_uid62461_upstream,no,yes,yes,Mycoplasma haemofelis Langford 1 uid62461 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma haemofelis Langford 1 uid62461</I>.,-1000,+200
Mycoplasma_haemofelis_Ohio2_uid162029_upstream,no,yes,yes,Mycoplasma haemofelis Ohio2 uid162029 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma haemofelis Ohio2 uid162029</I>.,-1000,+200
Mycoplasma_hominis_ATCC_23114_uid41875_upstream,no,yes,yes,Mycoplasma hominis ATCC 23114 uid41875 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hominis ATCC 23114 uid41875</I>.,-1000,+200
Mycoplasma_hominis_uid41875_upstream,no,yes,yes,Mycoplasma hominis uid41875 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hominis uid41875</I>.,-1000,+200
Mycoplasma_hyopneumoniae_168_uid162053_upstream,no,yes,yes,Mycoplasma hyopneumoniae 168 uid162053 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyopneumoniae 168 uid162053</I>.,-1000,+200
Mycoplasma_hyopneumoniae_232_uid58205_upstream,no,yes,yes,Mycoplasma hyopneumoniae 232 uid58205 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyopneumoniae 232 uid58205</I>.,-1000,+200
Mycoplasma_hyopneumoniae_7448_uid58039_upstream,no,yes,yes,Mycoplasma hyopneumoniae 7448 uid58039 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyopneumoniae 7448 uid58039</I>.,-1000,+200
Mycoplasma_hyopneumoniae_J_uid58059_upstream,no,yes,yes,Mycoplasma hyopneumoniae J uid58059 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyopneumoniae J uid58059</I>.,-1000,+200
Mycoplasma_hyorhinis_GDL_1_uid87003_upstream,no,yes,yes,Mycoplasma hyorhinis GDL 1 uid87003 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyorhinis GDL 1 uid87003</I>.,-1000,+200
Mycoplasma_hyorhinis_HUB_1_uid51695_upstream,no,yes,yes,Mycoplasma hyorhinis HUB 1 uid51695 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyorhinis HUB 1 uid51695</I>.,-1000,+200
Mycoplasma_hyorhinis_MCLD_uid162087_upstream,no,yes,yes,Mycoplasma hyorhinis MCLD uid162087 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma hyorhinis MCLD uid162087</I>.,-1000,+200
Mycoplasma_leachii_PG50_uid60849_upstream,no,yes,yes,Mycoplasma leachii PG50 uid60849 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma leachii PG50 uid60849</I>.,-1000,+200
Mycoplasma_mobile_163K_uid58077_upstream,no,yes,yes,Mycoplasma mobile 163K uid58077 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma mobile 163K uid58077</I>.,-1000,+200
Mycoplasma_mycoides_SC_PG1_uid58031_upstream,no,yes,yes,Mycoplasma mycoides SC PG1 uid58031 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma mycoides SC PG1 uid58031</I>.,-1000,+200
Mycoplasma_mycoides_capri_LC_95010_uid66189_upstream,no,yes,yes,Mycoplasma mycoides capri LC 95010 uid66189 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma mycoides capri LC 95010 uid66189</I>.,-1000,+200
Mycoplasma_penetrans_HF_2_uid57729_upstream,no,yes,yes,Mycoplasma penetrans HF 2 uid57729 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma penetrans HF 2 uid57729</I>.,-1000,+200
Mycoplasma_phage_MAV1_upstream,no,yes,yes,Mycoplasma phage MAV1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma phage MAV1</I>.,-1000,+200
Mycoplasma_phage_P1_upstream,no,yes,yes,Mycoplasma phage P1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma phage P1</I>.,-1000,+200
Mycoplasma_phage_phiMFV1_upstream,no,yes,yes,Mycoplasma phage phiMFV1 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma phage phiMFV1</I>.,-1000,+200
Mycoplasma_pneumoniae_309_uid85495_upstream,no,yes,yes,Mycoplasma pneumoniae 309 uid85495 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma pneumoniae 309 uid85495</I>.,-1000,+200
Mycoplasma_pneumoniae_FH_uid162027_upstream,no,yes,yes,Mycoplasma pneumoniae FH uid162027 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma pneumoniae FH uid162027</I>.,-1000,+200
Mycoplasma_pneumoniae_M129_uid57709_upstream,no,yes,yes,Mycoplasma pneumoniae M129 uid57709 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma pneumoniae M129 uid57709</I>.,-1000,+200
Mycoplasma_pulmonis_UAB_CTIP_uid61569_upstream,no,yes,yes,Mycoplasma pulmonis UAB CTIP uid61569 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma pulmonis UAB CTIP uid61569</I>.,-1000,+200
Mycoplasma_putrefaciens_KS1_uid72481_upstream,no,yes,yes,Mycoplasma putrefaciens KS1 uid72481 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma putrefaciens KS1 uid72481</I>.,-1000,+200
Mycoplasma_suis_Illinois_uid61897_upstream,no,yes,yes,Mycoplasma suis Illinois uid61897 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma suis Illinois uid61897</I>.,-1000,+200
Mycoplasma_suis_KI3806_uid63665_upstream,no,yes,yes,Mycoplasma suis KI3806 uid63665 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma suis KI3806 uid63665</I>.,-1000,+200
Mycoplasma_suis_KI_3806_uid63665_upstream,no,yes,yes,Mycoplasma suis KI 3806 uid63665 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma suis KI 3806 uid63665</I>.,-1000,+200
Mycoplasma_synoviae_53_uid58061_upstream,no,yes,yes,Mycoplasma synoviae 53 uid58061 (upstream),Upstream sequences (-1000 to +200) for <I>Mycoplasma synoviae 53 uid58061</I>.,-1000,+200
Myxococcus_fulvus_HW_1_uid68443_upstream,no,yes,yes,Myxococcus fulvus HW 1 uid68443 (upstream),Upstream sequences (-1000 to +200) for <I>Myxococcus fulvus HW 1 uid68443</I>.,-1000,+200
Myxococcus_phage_Mx8_upstream,no,yes,yes,Myxococcus phage Mx8 (upstream),Upstream sequences (-1000 to +200) for <I>Myxococcus phage Mx8</I>.,-1000,+200
Myxococcus_xanthus_DK_1622_uid58003_upstream,no,yes,yes,Myxococcus xanthus DK 1622 uid58003 (upstream),Upstream sequences (-1000 to +200) for <I>Myxococcus xanthus DK 1622 uid58003</I>.,-1000,+200
Nakamurella_multipartita_DSM_44233_uid59221_upstream,no,yes,yes,Nakamurella multipartita DSM 44233 uid59221 (upstream),Upstream sequences (-1000 to +200) for <I>Nakamurella multipartita DSM 44233 uid59221</I>.,-1000,+200
Nanoarchaeum_equitans_Kin4_M_uid58009_upstream,no,yes,yes,Nanoarchaeum equitans Kin4 M uid58009 (upstream),Upstream sequences (-1000 to +200) for <I>Nanoarchaeum equitans Kin4 M uid58009</I>.,-1000,+200
Natranaerobius_thermophilus_JW_NM_WN_LF_uid59001_upstream,no,yes,yes,Natranaerobius thermophilus JW NM WN LF uid59001 (upstream),Upstream sequences (-1000 to +200) for <I>Natranaerobius thermophilus JW NM WN LF uid59001</I>.,-1000,+200
Natrialba_magadii_ATCC_43099_uid46245_upstream,no,yes,yes,Natrialba magadii ATCC 43099 uid46245 (upstream),Upstream sequences (-1000 to +200) for <I>Natrialba magadii ATCC 43099 uid46245</I>.,-1000,+200
Natrialba_phage_PhiCh1_upstream,no,yes,yes,Natrialba phage PhiCh1 (upstream),Upstream sequences (-1000 to +200) for <I>Natrialba phage PhiCh1</I>.,-1000,+200
Natronomonas_pharaonis_DSM_2160_uid58435_upstream,no,yes,yes,Natronomonas pharaonis DSM 2160 uid58435 (upstream),Upstream sequences (-1000 to +200) for <I>Natronomonas pharaonis DSM 2160 uid58435</I>.,-1000,+200
Nautilia_profundicola_AmH_uid59345_upstream,no,yes,yes,Nautilia profundicola AmH uid59345 (upstream),Upstream sequences (-1000 to +200) for <I>Nautilia profundicola AmH uid59345</I>.,-1000,+200
Neisseria_gonorrhoeae_FA_1090_uid57611_upstream,no,yes,yes,Neisseria gonorrhoeae FA 1090 uid57611 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria gonorrhoeae FA 1090 uid57611</I>.,-1000,+200
Neisseria_gonorrhoeae_NCCP11945_uid59191_upstream,no,yes,yes,Neisseria gonorrhoeae NCCP11945 uid59191 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria gonorrhoeae NCCP11945 uid59191</I>.,-1000,+200
Neisseria_gonorrhoeae_TCDC_NG08107_uid161097_upstream,no,yes,yes,Neisseria gonorrhoeae TCDC NG08107 uid161097 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria gonorrhoeae TCDC NG08107 uid161097</I>.,-1000,+200
Neisseria_lactamica_020_06_uid60851_upstream,no,yes,yes,Neisseria lactamica 020 06 uid60851 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria lactamica 020 06 uid60851</I>.,-1000,+200
Neisseria_lactamica_uid60851_upstream,no,yes,yes,Neisseria lactamica uid60851 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria lactamica uid60851</I>.,-1000,+200
Neisseria_meningitidis_053442_uid58587_upstream,no,yes,yes,Neisseria meningitidis 053442 uid58587 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis 053442 uid58587</I>.,-1000,+200
Neisseria_meningitidis_8013_uid161967_upstream,no,yes,yes,Neisseria meningitidis 8013 uid161967 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis 8013 uid161967</I>.,-1000,+200
Neisseria_meningitidis_FAM18_uid57825_upstream,no,yes,yes,Neisseria meningitidis FAM18 uid57825 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis FAM18 uid57825</I>.,-1000,+200
Neisseria_meningitidis_G2136_uid162085_upstream,no,yes,yes,Neisseria meningitidis G2136 uid162085 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis G2136 uid162085</I>.,-1000,+200
Neisseria_meningitidis_H44_76_uid162083_upstream,no,yes,yes,Neisseria meningitidis H44 76 uid162083 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis H44 76 uid162083</I>.,-1000,+200
Neisseria_meningitidis_M01_240149_uid162079_upstream,no,yes,yes,Neisseria meningitidis M01 240149 uid162079 (upstream),Upstream sequences (-1000 to +200) for <I>Neisseria meningitidis M01 240149 uid162079</I>.,-1000,+200
